date,sku_id,category,subcategory,price,discount_percentage,rating,city,channel,weather,90_days_sales,light,vibrant
2025-01-13,SKU6310,Ethnic Wear,Kurta,2759,0,3.6,Bhopal,Myntra,Winter,90,True,False
2023-05-22,SKU2290,Ethnic Wear,Saree,6181,30,3.7,Delhi,Brand Website,Summer,136,False,True
2025-05-16,SKU3705,Ethnic Wear,Lehenga,8867,20,4.6,Pune,Brand Website,Summer,59,False,True
2025-02-03,SKU6107,Ethnic Wear,Lehenga,9794,20,4.2,Prayagraj,Brand Website,Winter,93,False,True
2024-04-16,SKU2049,Ethnic Wear,Lehenga,10410,0,3.5,Lucknow,Myntra,Summer,36,False,True
2024-11-07,SKU1964,Ethnic Wear,Kurta,1790,20,3.9,Hyderabad,Myntra,Winter,259,True,False
2025-08-26,SKU4510,Ethnic Wear,Lehenga,8995,30,4.2,Bengaluru,Brand Website,Monsoon,56,False,True
2024-12-26,SKU2545,Ethnic Wear,Saree,5734,15,4.2,Delhi,Brand Website,Winter,296,False,True
2024-11-25,SKU2612,Ethnic Wear,Lehenga,8447,0,3.8,Mumbai,Offline,Winter,230,False,True
2025-08-05,SKU3296,Ethnic Wear,Saree,5023,30,4.9,Prayagraj,Myntra,Monsoon,118,False,True
2023-01-31,SKU2604,Ethnic Wear,Lehenga,8382,30,4.8,Mumbai,Brand Website,Winter,123,False,True
2023-05-01,SKU8956,Ethnic Wear,Saree,4674,15,3.5,Bhopal,Myntra,Summer,84,False,True
2025-09-23,SKU8454,Ethnic Wear,Lehenga,8634,0,3.9,Pune,Offline,Monsoon,38,False,True
2023-04-28,SKU9883,Ethnic Wear,Saree,4205,20,4.2,Mumbai,Brand Website,Summer,188,False,True
2023-06-14,SKU9701,Ethnic Wear,Lehenga,8761,0,4.4,Bengaluru,Myntra,Summer,55,False,True
2024-05-19,SKU4853,Ethnic Wear,Lehenga,10371,20,3.6,Prayagraj,Myntra,Summer,27,False,True
2024-10-05,SKU9565,Ethnic Wear,Kurta,2477,10,4.1,Lucknow,Offline,Winter,163,True,False
2023-01-20,SKU5915,Ethnic Wear,Kurta,3377,20,5.0,Bhopal,Offline,Winter,125,True,False
2023-09-29,SKU2200,Ethnic Wear,Saree,5429,0,4.8,Hyderabad,Brand Website,Monsoon,108,False,True
2024-09-11,SKU3584,Ethnic Wear,Lehenga,10166,0,4.5,Bhopal,Brand Website,Monsoon,41,False,True
2023-08-08,SKU2697,Ethnic Wear,Kurta,3766,0,3.9,Bengaluru,Offline,Monsoon,81,True,False
2024-06-24,SKU6617,Ethnic Wear,Lehenga,10070,15,3.9,Hyderabad,Brand Website,Summer,57,False,True
2024-07-20,SKU1832,Ethnic Wear,Saree,4180,0,4.0,Delhi,Brand Website,Monsoon,104,False,True
2025-05-25,SKU5291,Ethnic Wear,Saree,6297,0,3.7,Bengaluru,Brand Website,Summer,95,False,True
2023-10-31,SKU3442,Ethnic Wear,Lehenga,9760,0,3.6,Mumbai,Offline,Winter,114,False,True
2024-05-26,SKU1653,Ethnic Wear,Lehenga,8421,10,4.7,Lucknow,Myntra,Summer,64,False,True
2023-12-29,SKU7658,Ethnic Wear,Kurta,3188,0,3.8,Bengaluru,Myntra,Winter,114,True,False
2023-08-10,SKU7745,Ethnic Wear,Kurta,3066,30,3.6,Hyderabad,Offline,Monsoon,101,True,False
2024-04-11,SKU4269,Ethnic Wear,Saree,4913,0,4.5,Bhopal,Offline,Summer,77,False,True
2025-11-09,SKU5564,Ethnic Wear,Saree,5637,25,5.0,Delhi,Offline,Winter,563,False,True
2024-06-27,SKU1452,Ethnic Wear,Kurta,1656,0,4.4,Delhi,Offline,Summer,160,True,False
2023-08-25,SKU6139,Ethnic Wear,Lehenga,9577,20,3.8,Prayagraj,Brand Website,Monsoon,27,False,True
2024-02-08,SKU8144,Ethnic Wear,Lehenga,9491,15,3.6,Mumbai,Brand Website,Winter,153,False,True
2024-09-07,SKU6409,Ethnic Wear,Kurta,3577,10,4.5,Lucknow,Brand Website,Monsoon,107,True,False
2025-02-15,SKU5844,Ethnic Wear,Saree,4712,20,4.4,Bengaluru,Myntra,Winter,273,False,True
2025-05-30,SKU1006,Ethnic Wear,Kurta,3875,20,4.5,Pune,Offline,Summer,136,True,False
2023-12-14,SKU8244,Ethnic Wear,Saree,4347,10,4.3,Hyderabad,Brand Website,Winter,271,False,True
2024-09-27,SKU6491,Ethnic Wear,Lehenga,8920,30,3.8,Delhi,Myntra,Monsoon,55,False,True
2025-07-21,SKU5011,Ethnic Wear,Kurta,3197,25,4.4,Bhopal,Brand Website,Monsoon,142,True,False
2023-10-30,SKU7291,Ethnic Wear,Kurta,1522,30,4.8,Bhopal,Offline,Winter,252,True,False
2025-11-26,SKU7965,Ethnic Wear,Lehenga,9902,0,4.3,Hyderabad,Myntra,Winter,301,False,True
2025-12-23,SKU2988,Ethnic Wear,Saree,6289,20,4.0,Bhopal,Myntra,Winter,203,False,True
2023-11-22,SKU8251,Ethnic Wear,Saree,5944,15,3.9,Prayagraj,Brand Website,Winter,218,False,True
2024-07-16,SKU5543,Ethnic Wear,Kurta,3301,0,4.6,Bhopal,Brand Website,Monsoon,92,True,False
2023-10-11,SKU6502,Ethnic Wear,Kurta,2117,0,4.1,Lucknow,Brand Website,Winter,127,True,False
2024-11-08,SKU4505,Ethnic Wear,Saree,6222,15,4.1,Delhi,Offline,Winter,333,False,True
2023-02-10,SKU7883,Ethnic Wear,Lehenga,10358,15,4.2,Prayagraj,Brand Website,Winter,124,False,True
2024-03-27,SKU5892,Ethnic Wear,Lehenga,9999,0,3.9,Prayagraj,Offline,Summer,26,False,True
2025-04-08,SKU7371,Ethnic Wear,Lehenga,8676,30,4.2,Lucknow,Brand Website,Summer,41,False,True
2023-02-25,SKU9751,Ethnic Wear,Lehenga,8343,25,4.1,Mumbai,Offline,Winter,209,False,True
2024-11-01,SKU3977,Ethnic Wear,Saree,4866,15,4.0,Mumbai,Offline,Winter,479,False,True
2023-06-17,SKU7211,Ethnic Wear,Saree,5926,0,4.6,Pune,Offline,Summer,68,False,True
2023-03-24,SKU6733,Ethnic Wear,Kurta,1627,0,3.8,Hyderabad,Brand Website,Summer,107,True,False
2023-08-23,SKU3496,Ethnic Wear,Saree,6310,0,4.2,Hyderabad,Myntra,Monsoon,88,False,True
2023-08-23,SKU7043,Ethnic Wear,Lehenga,8670,10,3.7,Bengaluru,Brand Website,Monsoon,35,False,True
2024-02-11,SKU6111,Ethnic Wear,Lehenga,8311,20,4.5,Prayagraj,Offline,Winter,122,False,True
2023-09-05,SKU2669,Ethnic Wear,Lehenga,10318,30,3.6,Pune,Brand Website,Monsoon,49,False,True
2024-11-29,SKU7071,Ethnic Wear,Lehenga,8051,30,4.1,Delhi,Brand Website,Winter,383,False,True
2023-11-10,SKU8102,Ethnic Wear,Saree,5783,0,4.6,Lucknow,Brand Website,Winter,382,False,True
2024-07-03,SKU5425,Ethnic Wear,Saree,5320,30,3.9,Bhopal,Offline,Monsoon,86,False,True
2025-02-15,SKU5569,Ethnic Wear,Saree,5377,0,4.2,Bhopal,Myntra,Winter,159,False,True
2024-11-28,SKU8988,Ethnic Wear,Saree,5145,20,4.6,Hyderabad,Offline,Winter,388,False,True
2025-04-12,SKU1166,Ethnic Wear,Kurta,3501,20,4.6,Hyderabad,Myntra,Summer,211,True,False
2024-08-25,SKU9041,Ethnic Wear,Kurta,2407,15,4.5,Bhopal,Myntra,Monsoon,127,True,False
2024-12-05,SKU7046,Ethnic Wear,Lehenga,9742,25,4.3,Bhopal,Brand Website,Winter,118,False,True
2024-04-17,SKU8434,Ethnic Wear,Saree,4494,25,3.8,Pune,Offline,Summer,84,False,True
2025-09-18,SKU9779,Ethnic Wear,Kurta,2632,25,4.4,Bengaluru,Myntra,Monsoon,202,True,False
2024-04-10,SKU5636,Ethnic Wear,Saree,5478,0,4.0,Delhi,Myntra,Summer,136,False,True
2024-08-21,SKU3073,Ethnic Wear,Kurta,2017,25,4.8,Pune,Myntra,Monsoon,195,True,False
2025-06-21,SKU1200,Ethnic Wear,Saree,5395,0,4.9,Pune,Offline,Summer,86,False,True
2025-10-04,SKU8827,Ethnic Wear,Saree,4303,20,4.4,Delhi,Myntra,Winter,310,False,True
2023-08-31,SKU3444,Ethnic Wear,Kurta,3785,30,4.1,Pune,Myntra,Monsoon,157,True,False
2024-08-31,SKU4697,Ethnic Wear,Saree,6410,15,4.0,Prayagraj,Offline,Monsoon,53,False,True
2024-06-25,SKU2625,Ethnic Wear,Kurta,1832,0,3.9,Hyderabad,Brand Website,Summer,146,True,False
2025-08-20,SKU3564,Ethnic Wear,Saree,5192,0,3.8,Mumbai,Offline,Monsoon,85,False,True
2024-06-25,SKU8438,Ethnic Wear,Kurta,3915,25,4.7,Delhi,Brand Website,Summer,180,True,False
2024-06-28,SKU2880,Ethnic Wear,Kurta,2082,0,3.6,Hyderabad,Brand Website,Summer,148,True,False
2024-09-14,SKU5728,Ethnic Wear,Saree,5648,10,4.3,Bhopal,Myntra,Monsoon,95,False,True
2024-10-22,SKU2317,Ethnic Wear,Lehenga,10472,10,3.5,Mumbai,Offline,Winter,113,False,True
2023-12-25,SKU1339,Ethnic Wear,Kurta,3427,20,4.5,Pune,Brand Website,Winter,139,True,False
2023-07-06,SKU3973,Ethnic Wear,Saree,5925,10,4.1,Prayagraj,Brand Website,Monsoon,65,False,True
2025-10-11,SKU2713,Ethnic Wear,Saree,5180,25,4.9,Bengaluru,Offline,Winter,334,False,True
2024-05-31,SKU1601,Ethnic Wear,Saree,5324,0,5.0,Bhopal,Myntra,Summer,99,False,True
2025-08-04,SKU9431,Ethnic Wear,Lehenga,9692,0,3.8,Mumbai,Brand Website,Monsoon,45,False,True
2024-06-30,SKU9167,Ethnic Wear,Kurta,3749,0,4.9,Bhopal,Myntra,Summer,126,True,False
2024-05-05,SKU8941,Ethnic Wear,Lehenga,8648,10,4.3,Delhi,Myntra,Summer,69,False,True
2023-08-29,SKU2527,Ethnic Wear,Saree,4630,15,4.9,Hyderabad,Myntra,Monsoon,144,False,True
2024-05-14,SKU5479,Ethnic Wear,Saree,5870,20,3.7,Prayagraj,Offline,Summer,54,False,True
2025-04-29,SKU9327,Ethnic Wear,Saree,5392,30,4.3,Bengaluru,Myntra,Summer,164,False,True
2025-09-29,SKU5634,Ethnic Wear,Lehenga,8608,15,4.3,Pune,Brand Website,Monsoon,50,False,True
2024-01-22,SKU9903,Ethnic Wear,Saree,4978,20,4.1,Prayagraj,Offline,Winter,116,False,True
2025-08-26,SKU7730,Ethnic Wear,Lehenga,9561,15,5.0,Mumbai,Offline,Monsoon,61,False,True
2025-10-25,SKU3492,Ethnic Wear,Kurta,3917,10,4.8,Bhopal,Myntra,Winter,210,True,False
2023-02-01,SKU8213,Ethnic Wear,Saree,4590,15,4.8,Delhi,Brand Website,Winter,421,False,True
2025-03-25,SKU2225,Ethnic Wear,Saree,4328,30,4.0,Bhopal,Offline,Summer,108,False,True
2025-09-26,SKU9742,Ethnic Wear,Lehenga,10216,0,4.4,Prayagraj,Offline,Monsoon,21,False,True
2025-06-07,SKU5708,Ethnic Wear,Kurta,1903,30,4.5,Hyderabad,Brand Website,Summer,252,True,False
2023-03-01,SKU8269,Ethnic Wear,Saree,4188,10,4.7,Bengaluru,Brand Website,Summer,121,False,True
2025-12-23,SKU7141,Ethnic Wear,Kurta,3187,20,4.5,Prayagraj,Myntra,Winter,82,True,False
2024-05-08,SKU3868,Ethnic Wear,Saree,6038,20,3.7,Delhi,Brand Website,Summer,115,False,True
2023-01-20,SKU5161,Ethnic Wear,Lehenga,9905,10,4.5,Bhopal,Offline,Winter,55,False,True
2025-05-18,SKU8237,Ethnic Wear,Saree,5024,15,4.8,Lucknow,Brand Website,Summer,97,False,True
2025-02-20,SKU7302,Ethnic Wear,Kurta,3842,10,4.4,Bhopal,Myntra,Winter,116,True,False
2024-07-16,SKU5837,Ethnic Wear,Saree,4033,20,4.8,Mumbai,Brand Website,Monsoon,205,False,True
2024-12-22,SKU1803,Ethnic Wear,Kurta,2397,25,3.8,Bhopal,Offline,Winter,75,True,False
2023-03-22,SKU3240,Ethnic Wear,Lehenga,9265,30,4.2,Delhi,Brand Website,Summer,70,False,True
2025-04-30,SKU3153,Ethnic Wear,Saree,4719,0,3.7,Delhi,Offline,Summer,104,False,True
2025-09-13,SKU6994,Ethnic Wear,Saree,5208,25,4.8,Pune,Myntra,Monsoon,170,False,True
2025-03-24,SKU8673,Ethnic Wear,Kurta,3782,10,3.6,Delhi,Myntra,Summer,149,True,False
2024-06-20,SKU5332,Ethnic Wear,Saree,6394,15,4.7,Delhi,Offline,Summer,153,False,True
2024-11-02,SKU2775,Ethnic Wear,Kurta,3998,0,4.5,Hyderabad,Offline,Winter,170,True,False
2023-08-27,SKU8606,Ethnic Wear,Saree,4572,0,4.9,Pune,Brand Website,Monsoon,106,False,True
2023-10-05,SKU9071,Ethnic Wear,Kurta,3091,15,4.1,Delhi,Myntra,Winter,311,True,False
2023-11-13,SKU9850,Ethnic Wear,Lehenga,9699,25,3.6,Prayagraj,Brand Website,Winter,165,False,True
2025-01-28,SKU7686,Ethnic Wear,Lehenga,8889,15,4.2,Pune,Myntra,Winter,80,False,True
2025-01-04,SKU6942,Ethnic Wear,Saree,4248,15,3.9,Delhi,Brand Website,Winter,220,False,True
2023-02-13,SKU8450,Ethnic Wear,Kurta,1707,30,4.0,Delhi,Brand Website,Winter,204,True,False
2024-03-18,SKU4362,Ethnic Wear,Kurta,2454,10,4.7,Delhi,Brand Website,Summer,242,True,False
2024-05-28,SKU1046,Ethnic Wear,Kurta,2214,0,4.5,Pune,Myntra,Summer,121,True,False
2024-10-25,SKU1243,Ethnic Wear,Lehenga,8064,0,3.9,Lucknow,Myntra,Winter,109,False,True
2025-09-02,SKU7897,Ethnic Wear,Kurta,3336,30,4.0,Delhi,Brand Website,Monsoon,188,True,False
2025-12-03,SKU8405,Ethnic Wear,Kurta,2735,15,4.5,Hyderabad,Brand Website,Winter,98,True,False
2023-08-10,SKU8847,Ethnic Wear,Lehenga,10008,25,4.9,Prayagraj,Offline,Monsoon,27,False,True
2023-05-15,SKU2323,Ethnic Wear,Kurta,2016,10,4.4,Lucknow,Brand Website,Summer,150,True,False
2024-08-26,SKU6327,Ethnic Wear,Lehenga,9858,20,4.4,Prayagraj,Brand Website,Monsoon,33,False,True
2024-04-12,SKU2874,Ethnic Wear,Saree,5694,10,4.7,Hyderabad,Offline,Summer,105,False,True
2024-06-06,SKU2557,Ethnic Wear,Saree,5533,0,4.5,Lucknow,Offline,Summer,79,False,True
2023-07-17,SKU2494,Ethnic Wear,Saree,5526,30,3.7,Delhi,Myntra,Monsoon,115,False,True
2025-05-16,SKU6400,Ethnic Wear,Saree,4210,10,4.4,Delhi,Offline,Summer,130,False,True
2025-09-14,SKU9313,Ethnic Wear,Lehenga,8918,30,3.7,Hyderabad,Myntra,Monsoon,71,False,True
2024-04-08,SKU7022,Ethnic Wear,Lehenga,9757,30,4.3,Delhi,Offline,Summer,71,False,True
2024-07-13,SKU1430,Ethnic Wear,Kurta,2765,10,4.0,Pune,Myntra,Monsoon,114,True,False
2023-03-04,SKU3347,Ethnic Wear,Kurta,1875,25,4.3,Prayagraj,Myntra,Summer,139,True,False
2024-09-30,SKU8432,Ethnic Wear,Saree,5328,30,4.9,Lucknow,Myntra,Monsoon,147,False,True
2023-04-12,SKU1861,Ethnic Wear,Lehenga,8334,10,4.2,Bengaluru,Myntra,Summer,54,False,True
2025-11-15,SKU8242,Ethnic Wear,Kurta,1966,10,4.1,Prayagraj,Offline,Winter,117,True,False
2025-03-20,SKU8972,Ethnic Wear,Kurta,3954,0,3.5,Pune,Myntra,Summer,96,True,False
2024-11-02,SKU4460,Ethnic Wear,Saree,4491,0,4.2,Bengaluru,Offline,Winter,328,False,True
2024-04-16,SKU3116,Ethnic Wear,Lehenga,10049,20,4.8,Prayagraj,Brand Website,Summer,49,False,True
2025-06-12,SKU2180,Ethnic Wear,Kurta,1576,15,4.9,Prayagraj,Brand Website,Summer,172,True,False
2025-05-05,SKU8033,Ethnic Wear,Lehenga,9185,0,4.1,Prayagraj,Brand Website,Summer,37,False,True
2023-06-30,SKU3815,Ethnic Wear,Saree,5788,30,3.7,Bhopal,Brand Website,Summer,84,False,True
2024-11-26,SKU7560,Ethnic Wear,Saree,4907,10,4.7,Delhi,Offline,Winter,388,False,True
2023-10-30,SKU2868,Ethnic Wear,Saree,4967,0,3.7,Hyderabad,Offline,Winter,158,False,True
2025-10-08,SKU3504,Ethnic Wear,Lehenga,9900,30,4.3,Delhi,Myntra,Winter,247,False,True
2023-05-20,SKU6295,Ethnic Wear,Saree,5920,15,4.4,Lucknow,Myntra,Summer,120,False,True
2024-09-27,SKU1920,Ethnic Wear,Kurta,3391,15,3.6,Lucknow,Brand Website,Monsoon,93,True,False
2025-11-04,SKU5703,Ethnic Wear,Kurta,3074,15,4.4,Delhi,Brand Website,Winter,307,True,False
2024-01-21,SKU1672,Ethnic Wear,Lehenga,9316,20,4.2,Bhopal,Brand Website,Winter,61,False,True
2023-06-22,SKU2013,Ethnic Wear,Saree,6066,25,3.8,Bhopal,Myntra,Summer,80,False,True
2023-11-22,SKU8172,Ethnic Wear,Lehenga,9490,10,4.9,Bhopal,Brand Website,Winter,211,False,True
2024-11-16,SKU6543,Ethnic Wear,Lehenga,8269,10,3.6,Mumbai,Brand Website,Winter,290,False,True
2023-11-04,SKU5655,Ethnic Wear,Lehenga,9365,0,4.4,Pune,Brand Website,Winter,175,False,True
2025-03-13,SKU6731,Ethnic Wear,Lehenga,8528,20,4.6,Pune,Brand Website,Summer,45,False,True
2025-12-14,SKU7171,Ethnic Wear,Lehenga,8382,25,4.5,Lucknow,Myntra,Winter,170,False,True
2024-03-14,SKU1298,Ethnic Wear,Kurta,2899,30,4.2,Lucknow,Offline,Summer,119,True,False
2023-07-27,SKU3253,Ethnic Wear,Saree,6079,30,4.3,Bengaluru,Myntra,Monsoon,147,False,True
2023-09-26,SKU9626,Ethnic Wear,Saree,6446,15,3.7,Mumbai,Brand Website,Monsoon,87,False,True
2025-01-16,SKU3712,Ethnic Wear,Saree,4972,15,4.4,Bhopal,Myntra,Winter,154,False,True
2024-09-25,SKU8355,Ethnic Wear,Kurta,3421,30,3.8,Hyderabad,Brand Website,Monsoon,157,True,False
2025-10-26,SKU8218,Ethnic Wear,Saree,6160,15,4.9,Bhopal,Offline,Winter,227,False,True
2025-09-11,SKU3267,Ethnic Wear,Lehenga,9520,20,4.9,Pune,Myntra,Monsoon,73,False,True
2023-11-25,SKU9452,Ethnic Wear,Kurta,2617,15,4.9,Delhi,Offline,Winter,217,True,False
2024-12-16,SKU8167,Ethnic Wear,Saree,4109,15,3.6,Delhi,Myntra,Winter,292,False,True
2024-04-04,SKU4862,Ethnic Wear,Saree,4115,10,4.9,Prayagraj,Myntra,Summer,131,False,True
2024-08-10,SKU6493,Ethnic Wear,Kurta,3435,25,4.7,Bengaluru,Myntra,Monsoon,202,True,False
2023-06-12,SKU8685,Ethnic Wear,Kurta,1577,10,3.8,Bhopal,Brand Website,Summer,100,True,False
2024-05-01,SKU9647,Ethnic Wear,Saree,5233,0,3.6,Prayagraj,Myntra,Summer,64,False,True
2023-02-03,SKU8489,Ethnic Wear,Saree,6110,20,3.9,Delhi,Myntra,Winter,221,False,True
2024-05-07,SKU8032,Ethnic Wear,Saree,6337,15,3.8,Mumbai,Brand Website,Summer,117,False,True
2025-11-05,SKU9576,Ethnic Wear,Lehenga,10079,20,3.5,Lucknow,Myntra,Winter,238,False,True
2023-02-03,SKU1713,Ethnic Wear,Saree,5462,30,3.6,Prayagraj,Offline,Winter,124,False,True
2024-12-22,SKU2698,Ethnic Wear,Kurta,3736,10,4.7,Lucknow,Myntra,Winter,88,True,False
2023-10-04,SKU8612,Ethnic Wear,Kurta,1758,25,4.7,Bhopal,Brand Website,Winter,211,True,False
2023-03-27,SKU5807,Ethnic Wear,Kurta,2792,10,4.3,Hyderabad,Myntra,Summer,218,True,False
2024-01-27,SKU9897,Ethnic Wear,Kurta,2671,10,4.8,Bhopal,Offline,Winter,72,True,False
2025-06-13,SKU6438,Ethnic Wear,Saree,5638,25,4.2,Pune,Myntra,Summer,152,False,True
2025-10-15,SKU6554,Ethnic Wear,Lehenga,9504,30,4.3,Bengaluru,Offline,Winter,185,False,True
2024-01-05,SKU7955,Ethnic Wear,Lehenga,10234,10,4.0,Delhi,Offline,Winter,70,False,True
2025-05-22,SKU5843,Ethnic Wear,Lehenga,8682,25,4.2,Pune,Offline,Summer,47,False,True
2023-04-28,SKU6776,Ethnic Wear,Lehenga,8307,25,4.5,Prayagraj,Offline,Summer,39,False,True
2025-06-16,SKU3621,Ethnic Wear,Lehenga,8142,0,3.6,Mumbai,Myntra,Summer,61,False,True
2023-03-08,SKU7001,Ethnic Wear,Lehenga,10478,0,4.5,Lucknow,Offline,Summer,43,False,True
2023-10-09,SKU7095,Ethnic Wear,Lehenga,10168,10,4.1,Bhopal,Myntra,Winter,137,False,True
2024-01-17,SKU5089,Ethnic Wear,Lehenga,10044,20,4.1,Delhi,Myntra,Winter,123,False,True
2024-03-15,SKU5288,Ethnic Wear,Saree,5169,25,4.9,Pune,Brand Website,Summer,138,False,True
2023-12-20,SKU3009,Ethnic Wear,Saree,5823,0,4.7,Bengaluru,Myntra,Winter,280,False,True
2024-08-17,SKU6236,Ethnic Wear,Kurta,2728,30,3.7,Lucknow,Brand Website,Monsoon,136,True,False
2023-09-06,SKU3852,Ethnic Wear,Kurta,2323,30,3.7,Lucknow,Brand Website,Monsoon,145,True,False
2023-09-23,SKU6912,Ethnic Wear,Lehenga,8353,0,4.0,Lucknow,Offline,Monsoon,37,False,True
2023-06-01,SKU8842,Ethnic Wear,Lehenga,8513,10,4.5,Prayagraj,Offline,Summer,35,False,True
2024-01-08,SKU9476,Ethnic Wear,Lehenga,8528,15,4.3,Lucknow,Myntra,Winter,108,False,True
2023-11-28,SKU3034,Ethnic Wear,Kurta,2821,25,3.8,Bengaluru,Offline,Winter,218,True,False
2024-02-07,SKU9501,Ethnic Wear,Saree,6256,10,3.7,Pune,Myntra,Winter,161,False,True
2023-12-12,SKU9740,Ethnic Wear,Lehenga,10424,20,3.7,Delhi,Brand Website,Winter,170,False,True
2023-04-04,SKU6531,Ethnic Wear,Kurta,3862,10,4.5,Mumbai,Myntra,Summer,214,True,False
2024-08-16,SKU7825,Ethnic Wear,Lehenga,9237,15,3.9,Mumbai,Offline,Monsoon,48,False,True
2023-05-03,SKU7653,Ethnic Wear,Kurta,2147,15,4.1,Pune,Offline,Summer,137,True,False
2024-10-15,SKU6573,Ethnic Wear,Lehenga,9414,15,3.7,Bengaluru,Offline,Winter,114,False,True
2023-09-08,SKU2739,Ethnic Wear,Saree,5095,15,3.9,Lucknow,Myntra,Monsoon,80,False,True
2024-05-23,SKU5754,Ethnic Wear,Saree,4654,30,4.0,Prayagraj,Brand Website,Summer,98,False,True
2025-11-20,SKU6123,Ethnic Wear,Saree,5912,15,4.8,Hyderabad,Myntra,Winter,483,False,True
2024-05-08,SKU2475,Ethnic Wear,Saree,4881,20,4.0,Prayagraj,Brand Website,Summer,66,False,True
2023-01-17,SKU9108,Ethnic Wear,Lehenga,8440,15,3.7,Bhopal,Offline,Winter,55,False,True
2025-03-31,SKU6992,Ethnic Wear,Kurta,1709,20,4.3,Prayagraj,Offline,Summer,112,True,False
2024-07-26,SKU2204,Ethnic Wear,Saree,4486,0,5.0,Prayagraj,Brand Website,Monsoon,87,False,True
2025-11-08,SKU6555,Ethnic Wear,Kurta,3144,20,3.6,Lucknow,Myntra,Winter,125,True,False
2023-11-02,SKU6456,Ethnic Wear,Saree,6483,20,3.7,Bhopal,Brand Website,Winter,318,False,True
2024-09-04,SKU6218,Ethnic Wear,Lehenga,10431,10,4.3,Bengaluru,Offline,Monsoon,37,False,True
2025-01-24,SKU9025,Ethnic Wear,Kurta,2856,25,3.7,Pune,Offline,Winter,90,True,False
2024-06-27,SKU6040,Ethnic Wear,Saree,6369,20,3.8,Mumbai,Brand Website,Summer,87,False,True
2025-02-17,SKU8871,Ethnic Wear,Lehenga,8605,30,4.5,Bengaluru,Brand Website,Winter,138,False,True
2024-10-04,SKU2800,Ethnic Wear,Saree,5715,0,4.1,Hyderabad,Myntra,Winter,195,False,True
2023-05-08,SKU9221,Ethnic Wear,Lehenga,8565,20,3.8,Bhopal,Brand Website,Summer,37,False,True
2025-07-30,SKU8837,Ethnic Wear,Kurta,3683,10,4.3,Prayagraj,Offline,Monsoon,74,True,False
2024-07-25,SKU5331,Ethnic Wear,Kurta,3785,10,3.8,Bhopal,Myntra,Monsoon,125,True,False
2025-09-28,SKU5876,Ethnic Wear,Kurta,2798,15,4.0,Pune,Brand Website,Monsoon,157,True,False
2025-02-16,SKU5480,Ethnic Wear,Lehenga,9616,30,4.0,Pune,Myntra,Winter,178,False,True
2023-06-11,SKU3399,Ethnic Wear,Saree,5418,15,4.5,Pune,Myntra,Summer,140,False,True
2024-07-10,SKU4310,Ethnic Wear,Lehenga,8562,0,4.4,Pune,Brand Website,Monsoon,51,False,True
2024-04-07,SKU4972,Ethnic Wear,Lehenga,8953,0,3.7,Mumbai,Brand Website,Summer,40,False,True
2023-01-11,SKU8739,Ethnic Wear,Kurta,3754,0,4.1,Delhi,Brand Website,Winter,133,True,False
2024-08-11,SKU8793,Ethnic Wear,Kurta,2815,10,4.5,Bhopal,Brand Website,Monsoon,143,True,False
2023-03-18,SKU2465,Ethnic Wear,Lehenga,8717,15,4.8,Hyderabad,Brand Website,Summer,51,False,True
